Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,valence,arousal,Scene_ID,Influence_0,Influence_1,ElapsedTime_0,ElapsedTime_1,Sequence_Length
233,Thanks.,Phoebe,joy,positive,21,13,1,4,"0:02:30,900","0:02:32,175",1,1,6,0.0,0.8537117903930131,1.0,0.0,4
346,She is gonna hate me.,Phoebe,fear,negative,32,17,1,12,"00:11:48,833","00:11:50,083",0,1,7,0.0,0.0,1.0,1.0,1
354,I did it!,Phoebe,joy,positive,35,1,7,9,"0:21:26,494","0:21:27,676",1,1,8,0.0,0.0,1.0,1.0,1
355,I rode a bike!,Phoebe,joy,positive,35,2,7,9,"0:21:27,676","0:21:28,010",1,1,8,0.0,0.8537117903930131,1.0,0.0,2
356,I never thought Id be able to do that!,Phoebe,joy,positive,35,3,7,9,"0:21:28,120","0:21:30,342",1,1,8,0.0,0.8537117903930131,1.0,0.0,3
357,Thank you Ross.,Phoebe,joy,positive,35,4,7,9,"0:21:30,342","0:21:31,300",1,1,8,0.0,0.8537117903930131,1.0,0.0,4
426,I cant,Phoebe,anger,negative,40,0,8,4,"00:04:36,859","00:04:40,237",0,1,9,0.0,0.0,1.0,1.0,1
562,"Ooh, I have to tell you something.",Phoebe,joy,positive,52,1,3,21,"00:12:56,400","00:12:57,942",1,1,10,0.0,0.0,1.0,1.0,1
690,Oo! You should have one of us do it!,Phoebe,joy,positive,64,5,7,16,"00:02:35,864","00:02:37,781",1,1,11,0.0,0.0,1.0,1.0,1
692,No! No! Its-its uh a real thing! Anyone can get ordained on the Internet and perform like weddings and stuff!,Phoebe,joy,positive,64,7,7,16,"00:02:41,995","00:02:47,833",1,1,11,0.0,0.8537117903930131,1.0,0.0,2
696,What?! No! It was my idea!,Phoebe,anger,negative,64,9,7,16,"00:02:50,628","00:02:52,629",0,1,11,0.0,0.8537117903930131,1.0,0.0,3
713,"Aw, honey its not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I dont see that happening.",Phoebe,sadness,negative,66,8,3,6,"00:14:58,939","00:15:04,819",0,0,12,0.0,0.0,1.0,1.0,1
715,"Aww, good.  What?",Phoebe,joy,positive,66,10,3,6,"00:15:06,947","00:15:13,703",1,1,12,0.34615384615384615,0.0,0.0,1.0,1
733,"She moved in with a guy who was secretly married to her and he said he didnt love her, but he really did, and it just blew up!",Phoebe,anger,negative,67,15,6,3,"00:09:06,754","00:09:12,968",0,1,13,0.0,0.0,1.0,1.0,1
752,"Yeah, it was really hard.",Phoebe,sadness,negative,69,4,1,5,"00:10:19,076","00:10:20,493",0,0,14,0.0,0.0,1.0,1.0,1
754,"Ok, you weren't there.",Phoebe,anger,negative,69,6,1,5,"00:10:23,539","00:10:24,831",0,1,14,0.34615384615384615,0.0,0.0,1.0,1
793,Jason is not a sissy!,Phoebe,anger,negative,74,5,3,23,"00:07:22,275","00:07:24,317",0,1,15,0.0,0.0,1.0,1.0,1
811,No Rachel! They got here first!,Phoebe,anger,negative,78,2,6,17,"00:21:16,483","00:21:18,150",0,1,16,0.0,0.0,1.0,1.0,1
840,This is so typical. I'm always the last one to know everything.,Phoebe,anger,negative,81,11,1,7,"00:11:59,009","00:12:02,303",0,1,17,0.0,0.0,1.0,1.0,1
842,Yuh-huh!,Phoebe,anger,negative,81,13,1,7,"0:12:04,697","0:12:05,287",0,1,17,0.0,0.8537117903930131,1.0,0.0,2
843,I was the last one to know when Chandler got bitten by the peacock at the zoo.,Phoebe,anger,negative,81,14,1,7,"00:12:05,391","00:12:10,019",0,1,17,0.0,0.8537117903930131,1.0,0.0,3
844,I was the last one to know when you had a crush on Joey when he was moving in.,Phoebe,anger,negative,81,15,1,7,"00:12:10,771","00:12:13,815",0,1,17,0.0,0.8537117903930131,1.0,0.0,4
865,"No, yeah! The groom cannot see the bride!",Phoebe,anger,negative,84,1,4,20,"00:21:01,218","00:21:03,761",0,1,18,0.0,0.0,1.0,1.0,1
867,Not after this!,Phoebe,anger,negative,84,3,4,20,"00:21:06,056","00:21:08,224",0,1,18,0.0,0.8537117903930131,1.0,0.0,2
891,What a neat idea. All your clothes match. I'm gonna do this.,Phoebe,joy,positive,87,4,1,5,"00:22:03,113","00:22:06,949",1,1,19,0.0,0.0,1.0,1.0,1
920,"What, did you actually thought it would make me feel better to give me stuff that I cant use for another two months?!",Phoebe,anger,negative,91,0,4,20,"00:06:56,249","00:07:02,087",0,1,20,0.0,0.0,1.0,1.0,1
921,This sucks!,Phoebe,anger,negative,92,0,4,22,"00:07:02,255","00:07:03,880",0,1,21,0.0,0.0,1.0,1.0,1
1056,"Ha-ha, its not my baby, ha-ha-ha!",Phoebe,anger,negative,109,3,4,14,"00:14:25,030","00:14:27,740",0,1,22,0.0,0.0,1.0,1.0,1
1058,"I really, really enjoyed it. Very exotic.",Phoebe,joy,positive,109,5,4,14,"00:14:33,622","00:14:38,042",1,1,22,0.0,0.8537117903930131,1.0,0.0,2
1062,Come on! Look where you are!!,Phoebe,joy,positive,109,9,4,14,"00:14:50,681","00:14:53,641",1,1,22,0.0,0.8537117903930131,1.0,0.0,3
1078,That and arrogance.,Phoebe,anger,negative,110,3,7,3,"00:08:13,242","00:08:14,951",0,1,23,0.0,0.0,1.0,1.0,1
1102,"Okay, I will find someplace else to do the rest of my appointments. I just dont know what the big deal is!",Phoebe,anger,negative,112,3,7,2,"00:06:54,080","00:06:59,501",0,1,24,0.0,0.0,1.0,1.0,1
1181,"Yknow you, you just stop being such a wuss and get those off and you come with us and watch naked girls dance around!!",Phoebe,anger,negative,121,5,4,14,"00:12:31,375","00:12:39,716",0,1,25,0.0,0.0,1.0,1.0,1
1183,Im sorry.,Phoebe,sadness,negative,121,7,4,14,"00:12:44,388","00:12:46,181",0,0,25,0.0,0.8537117903930131,1.0,0.0,1
1253,"Great, lets begin.  Hows the pressure?",Phoebe,joy,positive,128,2,8,14,"00:07:33,200","00:07:45,400",1,1,26,0.0,0.0,1.0,1.0,1
1255,"Stating the obvious, but thank you. And its not weird is it.",Phoebe,joy,positive,128,4,8,14,"00:07:49,560","00:07:56,400",1,1,26,0.0,0.8537117903930131,1.0,0.0,2
1361,I don't know! I didn't come with her!,Phoebe,anger,negative,139,2,5,9,"00:21:44,636","00:21:46,470",0,1,27,0.0,0.0,1.0,1.0,1
1381,"Umm, this stuffing is amazing. Do you think we should bring them some?",Phoebe,joy,positive,143,3,3,9,"00:22:02,070","00:22:05,948",1,1,28,0.0,0.0,1.0,1.0,1
1397,Oh my God!  Go away!  Stop looking in here!,Phoebe,anger,negative,145,8,1,20,"00:05:45,720","00:05:52,934",0,1,29,0.0,0.0,1.0,1.0,1
1409,"Its just y'know, been a couple of hours, and she hasnt called. Not that I even care, y'know.",Phoebe,sadness,negative,146,1,3,14,"00:11:38,948","00:11:46,538",0,0,30,0.0,0.0,1.0,1.0,1
1411,You think you know me so well.,Phoebe,anger,negative,146,3,3,14,"00:11:48,958","00:11:50,959",0,1,30,0.34615384615384615,0.0,0.0,1.0,1
1417,I cant.,Phoebe,sadness,negative,146,9,3,14,"0:12:01,805","0:12:03,147",0,0,30,0.0,0.3711790393013101,1.0,0.5652173913043478,1
1418,I cant.,Phoebe,sadness,negative,146,10,3,14,"0:12:03,147","0:12:03,683",0,0,30,0.3,0.0,0.13333333333333333,1.0,2
1419,"She dumped me, I mean I totally trusted her and then one day it was Okay, bye Pheebs gone.",Phoebe,sadness,negative,146,11,3,14,"00:12:03,764","00:12:11,020",0,0,30,0.34615384615384615,0.0,0.0,1.0,3
1420,"Y'know what the saddest part is, when we were playing together, that was like the most fun Ive ever had in like all my lives.",Phoebe,sadness,negative,146,12,3,14,"00:12:12,648","00:12:20,864",0,0,30,0.21634615384615385,0.0,0.375,1.0,4
1455,"Ooh, oh no! I have to go! I have a massage appointment.",Phoebe,sadness,negative,149,0,8,7,"00:13:57,294","00:14:01,172",0,0,31,0.0,0.0,1.0,1.0,1
1506,You dont play the oboe!,Phoebe,anger,negative,153,11,3,6,"0:10:03,311","0:10:04,523",0,1,32,0.0,0.0,1.0,1.0,1
1530,"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",Phoebe,sadness,negative,156,0,8,2,"00:13:49,662","00:13:56,960",0,0,33,0.0,0.0,1.0,1.0,1
1531,Go!,Phoebe,anger,negative,156,1,8,2,"00:13:53,916","00:13:56,960",0,1,33,0.34615384615384615,0.0,0.0,1.0,1
1533,"I may play the fool at times, but Im a little more than a pretty blond girl with an ass that wont quit.",Phoebe,anger,negative,156,3,8,2,"00:14:01,382","00:14:09,430",0,1,33,0.0,0.2845705967976711,1.0,0.6666666666666666,2
1542,"Hey, thank you so much for these tickets, Chandler.",Phoebe,joy,positive,157,0,9,20,"00:23:25,600","00:23:28,478",1,1,34,0.0,0.0,1.0,1.0,1
1637,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",Phoebe,anger,negative,167,2,3,14,"00:00:20,020","00:00:23,856",0,1,35,0.0,0.0,1.0,1.0,1
1644,"Okay, see, see, everyone else is happy shes done.",Phoebe,anger,negative,167,9,3,14,"00:00:57,807","00:01:01,018",0,1,35,0.0,0.8537117903930131,1.0,0.0,2
1702,"Okay, you have 19 questions left. Use them wisely.  Come on Joey! You cant win if you dont ask any",Phoebe,joy,positive,173,0,6,1,"00:10:25,791","00:10:36,051",1,1,36,0.0,0.0,1.0,1.0,1
1704,"Well, you promised me a fun road trip!",Phoebe,joy,positive,173,2,6,1,"0:10:41,558","0:10:43,102",1,1,36,0.0,0.8537117903930131,1.0,0.0,2
1705,Weve been on the road six hours and youve been asleep for five and a half!,Phoebe,anger,negative,173,3,6,1,"0:10:40,306","0:10:47,118",0,1,36,0.0,0.8537117903930131,1.0,0.0,3
1706,We are switching at the next rest stop and,Phoebe,anger,negative,173,4,6,1,"0:10:47,118","0:10:54,494",0,1,36,0.0,0.8537117903930131,1.0,0.0,4
1708,Yeah! And until then you are going to sing to me because the radios broken and you are selfish but have a nice voice.,Phoebe,anger,negative,173,6,6,1,"00:10:56,697","00:11:04,120",0,1,36,0.0,0.8537117903930131,1.0,0.0,5
1710,Sing!!,Phoebe,anger,negative,173,8,6,1,"0:11:06,041","0:11:06,692",0,1,36,0.0,0.8537117903930131,1.0,0.0,6
1748,Oh no. Could I get anyone a coffee orpoison? No? Just for me? Okay.,Phoebe,fear,negative,177,3,8,2,"00:16:12,513","00:16:23,940",0,1,37,0.0,0.0,1.0,1.0,1
1821,Ta-da.,Phoebe,joy,positive,183,2,2,4,"0:09:55,315","0:09:56,264",1,1,38,0.0,0.0,1.0,1.0,1
1828,"So, wow, this is pretty wonerful, huh.",Phoebe,joy,positive,183,9,2,4,"00:10:09,025","00:10:15,572",1,1,38,0.0,0.8537117903930131,1.0,0.0,2
1838,"Um, the matador.  Ole, ha ha ha.",Phoebe,joy,positive,183,19,2,4,"00:10:50,441","00:10:58,281",1,1,38,0.0,0.8537117903930131,1.0,0.0,3
1876,"I like waking up with you too.  Oh! It's such a beautiful morning.  Oh, I can stay here all day.",Phoebe,joy,positive,186,1,5,21,"00:19:59,698","00:20:07,163",1,1,39,0.0,0.0,1.0,1.0,1
1878,We could have breakfast in bed,Phoebe,joy,positive,186,3,5,21,"0:20:11,168","0:20:12,980",1,1,39,0.0,0.8537117903930131,1.0,0.0,2
1941,"Oh, yeah!",Phoebe,joy,positive,193,2,3,14,"00:13:55,167","00:13:58,169",1,1,40,0.0,0.0,1.0,1.0,1
1948,"Thats okay. All right, Im gonna play song thats really, really sad. Its called Magician Box Mix Up.",Phoebe,joy,positive,194,1,3,10,"00:14:18,941","00:14:26,406",1,1,41,0.0,0.0,1.0,1.0,1
1983,Left!  Thank you.,Phoebe,joy,positive,198,2,6,25,"00:13:15,085","00:13:19,923",1,1,42,0.0,0.0,1.0,1.0,1
1987,Yeah absolutely!,Phoebe,joy,positive,198,6,6,25,"00:13:26,806","00:13:28,807",1,1,42,0.0,0.8537117903930131,1.0,0.0,2
1989,"Rachel, were sorry for pushing those guys on you.",Phoebe,sadness,negative,199,0,6,19,"00:20:44,618","00:20:47,245",0,0,43,0.0,0.0,1.0,1.0,1
2031,I did it! I took care of the babies all by myself!,Phoebe,joy,positive,202,8,6,5,"00:17:24,585","00:17:27,420",1,1,44,0.0,0.0,1.0,1.0,1
2066,"See, there you go, the cleansing works!",Phoebe,joy,positive,205,4,1,14,"00:22:23,383","00:22:27,720",1,1,45,0.0,0.0,1.0,1.0,1
2100,"Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit.",Phoebe,joy,positive,207,10,3,15,"00:14:59,940","00:15:09,282",1,1,46,0.0,0.0,1.0,1.0,1
2107,"Yeah but, Mischa is so interested in you, that Sergei and I havent been able to say two words to each other.",Phoebe,anger,negative,207,17,3,15,"00:15:42,566","00:15:50,990",0,1,46,0.0,0.8537117903930131,1.0,0.0,2
2177,"David the scientist guy, David that I was in love with, David who went to Russia and broke my heart David!",Phoebe,sadness,negative,214,2,7,11,"00:08:49,570","00:08:55,700",0,0,47,0.0,0.0,1.0,1.0,1
2183,Well Yeah. You look great too. Did you get a haircut?,Phoebe,joy,positive,214,8,7,11,"00:09:17,139","00:09:22,018",1,1,47,0.34615384615384615,0.0,0.0,1.0,1
2221,"I-I wanted to apologise if Iyknow seemed a tad edgy yesterday at my shower. Yknow its just the hormones, yknow.",Phoebe,sadness,negative,220,3,4,22,"00:10:42,433","00:10:51,399",0,0,48,0.0,0.0,1.0,1.0,1
2310,"No, I can't talk to you! I don't have a fancy ad in the Yellow Pages!",Phoebe,anger,negative,228,0,5,11,"00:16:47,548","00:16:51,843",0,1,49,0.0,0.0,1.0,1.0,1
2314,Uh-huh!,Phoebe,joy,positive,228,4,5,11,"0:17:20,844","0:17:22,006",1,1,49,0.0,0.8537117903930131,1.0,0.0,2
2317,No!,Phoebe,anger,negative,228,7,5,11,"0:17:47,044","0:17:48,488",0,1,49,0.0,0.8537117903930131,1.0,0.0,3
2442,"Oh... Mike's sister just invited me to a party tonight, he's gonna be there.",Phoebe,anger,negative,241,0,9,22,"00:01:22,916","00:01:27,044",0,1,50,0.0,0.0,1.0,1.0,1
2443,"And she was like ""Oh, don't worry!",Phoebe,sadness,negative,241,1,9,22,"0:01:27,212","0:01:31,404",0,0,50,0.0,0.8537117903930131,1.0,0.0,1
2445,"He's totally ok with seeing you!"".",Phoebe,anger,negative,241,3,9,22,"0:01:31,696","0:01:31,852",0,1,50,0.19230769230769232,0.0,0.4444444444444444,1.0,1
2446,So now I have to go so he'll think that I'm totally ok with seeing him!,Phoebe,joy,positive,241,4,9,22,"00:01:31,925","00:01:35,761",1,1,50,0.0,0.8537117903930131,1.0,0.0,2
2450,"I didn't even think about that!  Aaargh,",Phoebe,anger,negative,241,8,9,22,"00:01:42,519","00:01:47,689",0,1,50,0.0,0.22765647743813688,1.0,0.7333333333333333,3
2452,"Ok, that'll be great!",Phoebe,joy,positive,241,10,9,22,"00:01:51,194","00:01:54,404",1,1,50,0.0,0.5335698689956332,1.0,0.375,4
2463,"Oh, great!",Phoebe,joy,positive,245,0,7,18,"00:06:51,202","00:06:52,500",1,1,51,0.0,0.0,1.0,1.0,1
2464,"We couldnt keep our eyes off each other all night and then every once and a while yknow, hed kinda lean over and stroke my hair and touch my neck.",Phoebe,joy,positive,245,1,7,18,"00:06:51,202","00:06:59,292",1,1,51,0.0,0.8537117903930131,1.0,0.0,2
2466,"All I could think of was yknow, ""Is he gonna kiss me? Is he gonna kiss me?""",Phoebe,joy,positive,245,3,7,18,"00:07:03,131","00:07:06,216",1,1,51,0.0,0.8537117903930131,1.0,0.0,3
2468,"Im a lady Monica, I dont kiss and tell. But this hickey speaks for itself.",Phoebe,joy,positive,245,5,7,18,"00:07:06,384","00:07:11,638",1,1,51,0.0,0.8537117903930131,1.0,0.0,4
2470,I just like him so much that I just feel like Ive had 10 drinks today and Ive only had six.,Phoebe,joy,positive,245,7,7,18,"00:07:14,267","00:07:19,938",1,1,51,0.0,0.8537117903930131,1.0,0.0,5
2473,You sound like a guy.,Phoebe,disgust,negative,245,10,7,18,"00:07:26,863","00:07:31,283",0,1,51,0.0,0.8537117903930131,1.0,0.0,6
2491,No!,Phoebe,anger,negative,248,1,8,12,"0:03:10,278","0:03:11,090",0,1,52,0.0,0.0,1.0,1.0,1
2494,"Oh, would you look at that Monica?",Phoebe,joy,positive,248,3,8,12,"00:03:13,067","00:03:14,902",1,1,52,0.0,0.8537117903930131,1.0,0.0,2
2495,"I just knocked off all of your top scores, how sad.",Phoebe,joy,positive,248,4,8,12,"00:03:15,069","00:03:17,112",1,1,52,0.0,0.8537117903930131,1.0,0.0,3
2497,"Oh, Im sorry. I didnt hear you over all the winning.",Phoebe,joy,positive,248,6,8,12,"00:03:23,578","00:03:26,830",1,1,52,0.0,0.8537117903930131,1.0,0.0,4
2564,You can't have it.,Phoebe,anger,negative,254,2,9,17,"0:09:59,003","0:10:00,715",0,1,53,0.0,0.0,1.0,1.0,1
2566,No,Phoebe,anger,negative,254,4,9,17,"00:10:00,963","00:10:03,049",0,1,53,0.0,0.8537117903930131,1.0,0.0,2
2568,Oh yeah.,Phoebe,anger,negative,254,6,9,17,"0:10:06,358","0:10:07,182",0,1,53,0.0,0.8537117903930131,1.0,0.0,3
2571,Damn you Monica Geller hyphen Bing!,Phoebe,anger,negative,254,9,9,17,"00:10:15,144","00:10:17,480",0,1,53,0.0,0.8537117903930131,1.0,0.0,4
2624,She cancelled! My namesake cancelled on me!,Phoebe,anger,negative,260,1,3,25,"00:14:21,277","00:14:23,736",0,1,54,0.0,0.0,1.0,1.0,1
2626,"Yeah, she clamed she had to go out of town suddenly.",Phoebe,sadness,negative,260,3,3,25,"0:14:26,496","0:14:26,636",0,0,54,0.0,0.8537117903930131,1.0,0.0,1
2627,"Shes avoiding me, she doesnt want to tell me where my Father is.",Phoebe,sadness,negative,260,4,3,25,"00:14:26,740","00:14:30,118",0,0,54,0.34615384615384615,0.0,0.0,1.0,2
2628,"She knows, and she wont tell me.",Phoebe,sadness,negative,260,5,3,25,"00:14:30,286","00:14:31,536",0,0,54,0.19230769230769232,0.0,0.4444444444444444,1.0,3
2630,"Yeah, well, dont Aww Pheebs, that sucks! me yet.",Phoebe,sadness,negative,260,7,3,25,"00:14:31,704","00:14:38,751",0,0,54,0.31153846153846154,0.0,0.1,1.0,4
2634,"Well, are any of those people here?!",Phoebe,anger,negative,260,11,3,25,"00:14:48,095","00:14:51,222",0,1,54,0.1282051282051282,0.0,0.6296296296296297,1.0,1
2639,"Uh-huh, well! But umm, still Im-Im mad at you.",Phoebe,anger,negative,261,4,4,1,"00:19:14,486","00:19:19,866",0,1,55,0.0,0.0,1.0,1.0,1
2643,"All right, stop it. Now youre just doing it to freak me out.",Phoebe,sadness,negative,261,8,4,1,"00:19:32,713","00:19:35,965",0,0,55,0.0,0.8537117903930131,1.0,0.0,1
2657,"I did, but that was really fun.",Phoebe,joy,positive,263,8,7,18,"00:04:53,251","00:04:58,005",1,1,56,0.0,0.0,1.0,1.0,1
2707,"How could you pick up a hitchhiker?! He could be a rape, a rapist or a killer or something!",Phoebe,fear,negative,272,0,6,1,"00:14:29,577","00:14:36,499",0,1,57,0.0,0.0,1.0,1.0,1
2709,"Yknow what? Im not talking to you! You go back to sleep!  And you, are you a rapist?!",Phoebe,anger,negative,272,2,6,1,"00:14:40,087","00:14:45,592",0,1,57,0.0,0.8537117903930131,1.0,0.0,2
2715,No-No! You need your sleep. Night-night! Shh!,Phoebe,anger,negative,272,8,6,1,"00:14:54,226","00:14:56,269",0,1,57,0.0,0.8537117903930131,1.0,0.0,3
2729,"Hey! So Chandler, wanna go to the coffeehouse?",Phoebe,joy,positive,273,13,6,23,"0:00:36,494","0:00:39,122",1,1,58,0.0,0.0,1.0,1.0,1
2778,So you like the drums!,Phoebe,joy,positive,278,1,7,10,"00:07:50,094","00:07:52,179",1,1,59,0.0,0.0,1.0,1.0,1
2779,"That's, that's great!",Phoebe,joy,positive,278,2,7,10,"00:07:52,388","00:07:54,306",1,1,59,0.0,0.8537117903930131,1.0,0.0,2
2781,"All right, okay, well, apparently not!",Phoebe,sadness,negative,278,4,7,10,"0:08:00,855","0:08:03,207",0,0,59,0.0,0.8537117903930131,1.0,0.0,1
2782,"So, yay!",Phoebe,joy,positive,278,5,7,10,"0:08:03,207","0:08:04,995",1,1,59,0.2517482517482518,0.0,0.2727272727272727,1.0,1
2785,That's fun.,Phoebe,joy,positive,278,8,7,10,"00:08:16,871","00:08:18,622",1,1,59,0.0,0.16007096069868998,1.0,0.8125,2
2806,Exactly! Because it's in the past!,Phoebe,anger,negative,280,1,5,12,"0:02:19,389","0:02:22,343",0,1,60,0.0,0.0,1.0,1.0,1
2809,Hey!,Phoebe,joy,positive,281,1,7,22,"0:07:57,231","0:07:58,038",1,1,61,0.0,0.0,1.0,1.0,1
2819,I think so too. And that little flap? Great for holding my lipstick.,Phoebe,joy,positive,282,0,1,22,"00:08:29,967","00:08:35,472",1,1,62,0.0,0.0,1.0,1.0,1
2821,And! Yknow what Jake says? That womens underwear is actually more comfortable. And he loves the way the silk feels against his skin.,Phoebe,joy,positive,282,2,1,22,"00:08:43,856","00:08:51,279",1,1,62,0.0,0.8537117903930131,1.0,0.0,2
2828,"Okay, whatever.",Phoebe,disgust,negative,283,6,7,22,"0:09:14,887","0:09:18,412",0,1,63,0.0,0.0,1.0,1.0,1
2888,No-no wait-wait! I cant just let you hang up! Just please talk to me.,Phoebe,fear,negative,289,1,7,13,"00:09:29,735","00:09:35,782",0,1,64,0.0,0.0,1.0,1.0,1
2890,"Yeah! Now, why do you want to kill yourself?",Phoebe,sadness,negative,289,3,7,13,"00:09:42,206","00:09:45,208",0,0,64,0.0,0.8537117903930131,1.0,0.0,1
2894,"No look, I-Im sure that people know you exist!",Phoebe,sadness,negative,291,0,6,1,"00:10:05,146","00:10:10,525",0,0,65,0.0,0.0,1.0,1.0,1
2920,"""You wish.""",Phoebe,joy,positive,293,12,6,21,"0:13:31,701","0:13:32,736",1,1,66,0.0,0.0,1.0,1.0,1
2927,"Come on Joey, dont make me feel badly about this.",Phoebe,sadness,negative,295,4,7,11,"00:13:58,838","00:14:00,713",0,0,67,0.0,0.0,1.0,1.0,1
2933,ThatIts not the same thing! This is,Phoebe,anger,negative,295,10,7,11,"00:14:11,892","00:14:14,602",0,1,67,0.34615384615384615,0.0,0.0,1.0,1
2937,"Okay, whatever.",Phoebe,joy,positive,295,14,7,11,"0:14:27,366","0:14:28,708",1,1,67,0.0,0.38269838879686796,1.0,0.5517241379310345,2
2939,"I dont have time to convince you because hes only here for four hours, and Im gonna go see him!",Phoebe,anger,negative,295,16,7,11,"00:14:29,076","00:14:32,787",0,1,67,0.0,0.7986336103676576,1.0,0.06451612903225806,3
2941,Yeah!,Phoebe,anger,negative,295,18,7,11,"0:14:33,667","0:14:34,059",0,1,67,0.0,0.7561447286338117,1.0,0.11428571428571428,4
2943,Yeah!,Phoebe,anger,negative,295,20,7,11,"0:14:34,602","0:14:35,853",0,1,67,0.0,0.8299975739932072,1.0,0.027777777777777776,5
2969,"No-no, let me in!",Phoebe,anger,negative,297,2,4,20,"0:08:59,872","0:09:02,083",0,1,68,0.0,0.0,1.0,1.0,1
2971,Yeah!,Phoebe,joy,positive,297,4,4,20,"00:09:02,708","00:09:03,917",1,1,68,0.0,0.8537117903930131,1.0,0.0,2
2973,"No, you have to let me in right now!!",Phoebe,joy,positive,297,6,4,20,"00:09:05,962","00:09:08,213",1,1,68,0.0,0.8537117903930131,1.0,0.0,3
2975,Yes!,Phoebe,joy,positive,297,8,4,20,"0:09:10,466","0:09:11,858",1,1,68,0.0,0.8537117903930131,1.0,0.0,4
3024,"Please, right now, no, every time I see him its like Is it on the lose? Is it watching me?",Phoebe,fear,negative,302,2,3,13,"00:16:58,851","00:17:08,901",0,1,69,0.0,0.0,1.0,1.0,1
3033,I dont have time for this.,Phoebe,anger,negative,303,0,2,5,"00:11:10,795","00:11:12,921",0,1,70,0.0,0.0,1.0,1.0,1
3045,"Build the unit Cinderelly, lay the tile Cinderelly.",Phoebe,anger,negative,304,10,3,5,"00:11:51,794","00:11:54,754",0,1,71,0.0,0.0,1.0,1.0,1
3085,"Okay, I can do that! Oh, by the way, I",Phoebe,joy,positive,308,1,7,13,"00:04:19,509","00:04:24,846",1,1,72,0.0,0.0,1.0,1.0,1
3097,"Well, its just that maternity clothes are so expensive.",Phoebe,joy,positive,310,2,4,13,"00:02:09,712","00:02:11,880",1,1,73,0.0,0.0,1.0,1.0,1
3105,"Okayyyyy, open up!",Phoebe,joy,positive,311,3,4,9,"00:00:11,511","00:00:13,303",1,1,74,0.0,0.0,1.0,1.0,1
3107,"Yeah, its for our catering business!",Phoebe,joy,positive,311,5,4,9,"00:00:24,149","00:00:25,774",1,1,74,0.0,0.8537117903930131,1.0,0.0,2
3143,"I know, theyre gonna be",Phoebe,joy,positive,314,1,6,25,"00:02:34,863","00:02:37,906",1,1,75,0.0,0.0,1.0,1.0,1
3147,Me too! So happy for them!,Phoebe,joy,positive,314,5,6,25,"00:02:46,082","00:02:48,500",1,1,75,0.0,0.8537117903930131,1.0,0.0,2
3151,Totally. Im like 90/10.,Phoebe,joy,positive,314,9,6,25,"00:03:06,769","00:03:13,400",1,1,75,0.0,0.8537117903930131,1.0,0.0,3
3159,"How could you say yes, what about our catering business?",Phoebe,anger,negative,315,4,4,9,"00:01:56,950","00:01:59,159",0,1,76,0.0,0.0,1.0,1.0,1
